Date,Province,Country,Cases,Deaths,Recoveries
3/14/20,,France,4469,91,12
3/15/20,,France,4499,91,12
3/16/20,,France,6633,148,12
3/17/20,,France,7652,148,12
3/18/20,,France,9043,148,12
3/19/20,,France,10871,243,12
3/20/20,,France,12612,450,12
3/21/20,,France,14282,562,12
3/22/20,,France,16018,674,2200
3/23/20,,France,19856,860,2200
3/24/20,,France,22304,1100,3243
3/25/20,,France,25233,1331,3900
3/26/20,,France,29155,1696,4948
3/27/20,,France,32964,1995,5700
3/28/20,,France,37575,2314,5700
3/29/20,,France,40174,2606,7202
3/30/20,,France,44550,3024,7927
3/31/20,,France,52128,3523,9444
4/1/20,,France,56989,4032,10934
4/2/20,,France,59105,5387,12428
4/3/20,,France,64338,6507,14008
4/4/20,,France,89953,7560,15438
1/22/20,,United Kingdom,0,0,0
1/23/20,,United Kingdom,0,0,0
1/24/20,,United Kingdom,0,0,0
1/25/20,,United Kingdom,0,0,0
1/26/20,,United Kingdom,0,0,0
1/27/20,,United Kingdom,0,0,0
1/28/20,,United Kingdom,0,0,0
1/29/20,,United Kingdom,0,0,0
1/30/20,,United Kingdom,0,0,0
1/31/20,,United Kingdom,2,0,0
2/1/20,,United Kingdom,2,0,0
2/2/20,,United Kingdom,2,0,0
2/3/20,,United Kingdom,2,0,0
2/4/20,,United Kingdom,2,0,0
2/5/20,,United Kingdom,2,0,0
2/6/20,,United Kingdom,2,0,0
2/7/20,,United Kingdom,3,0,0
2/8/20,,United Kingdom,3,0,0
2/9/20,,United Kingdom,3,0,0
2/10/20,,United Kingdom,8,0,0
2/11/20,,United Kingdom,8,0,0
2/12/20,,United Kingdom,9,0,1
2/13/20,,United Kingdom,9,0,1
2/14/20,,United Kingdom,9,0,1
2/15/20,,United Kingdom,9,0,1
2/16/20,,United Kingdom,9,0,8
2/17/20,,United Kingdom,9,0,8
2/18/20,,United Kingdom,9,0,8
2/19/20,,United Kingdom,9,0,8
2/20/20,,United Kingdom,9,0,8
2/21/20,,United Kingdom,9,0,8
2/22/20,,United Kingdom,9,0,8
2/23/20,,United Kingdom,9,0,8
2/24/20,,United Kingdom,13,0,8
2/25/20,,United Kingdom,13,0,8
2/26/20,,United Kingdom,13,0,8
2/27/20,,United Kingdom,15,0,8
2/28/20,,United Kingdom,20,0,8
2/29/20,,United Kingdom,23,0,8
3/1/20,,United Kingdom,36,0,8
3/2/20,,United Kingdom,40,0,8
3/3/20,,United Kingdom,51,0,8
3/4/20,,United Kingdom,85,0,8
3/5/20,,United Kingdom,115,1,8
3/6/20,,United Kingdom,163,2,8
3/7/20,,United Kingdom,206,2,18
3/8/20,,United Kingdom,273,3,18
3/9/20,,United Kingdom,321,4,18
3/10/20,,United Kingdom,382,6,18
3/11/20,,United Kingdom,456,8,18
3/12/20,,United Kingdom,456,8,18
3/13/20,,United Kingdom,798,8,18
3/14/20,,United Kingdom,1140,21,18
3/15/20,,United Kingdom,1140,21,18
3/16/20,,United Kingdom,1543,55,20
3/17/20,,United Kingdom,1950,55,52
3/18/20,,United Kingdom,2626,71,65
3/19/20,,United Kingdom,2689,137,65
3/20/20,,United Kingdom,3983,177,65
3/21/20,,United Kingdom,5018,233,65
3/22/20,,United Kingdom,5683,281,65
3/23/20,,United Kingdom,6650,335,65
3/24/20,,United Kingdom,8077,422,135
3/25/20,,United Kingdom,9529,465,135
3/26/20,,United Kingdom,11658,578,135
3/27/20,,United Kingdom,14543,759,135
3/28/20,,United Kingdom,17089,1019,135
3/29/20,,United Kingdom,19522,1228,135
3/30/20,,United Kingdom,22141,1408,135
3/31/20,,United Kingdom,25150,1789,135
4/1/20,,United Kingdom,29474,2352,135
4/2/20,,United Kingdom,33718,2921,135
4/3/20,,United Kingdom,38168,3605,135
4/4/20,,United Kingdom,41903,4313,135
